question,answer,A,B,C,D,Human Accuracy,Category
"x, y가 세 부등식 y ≤ x+3, y ≤ -4x+3, y ≥ 0을 만족할 때, x+y의 최댓값을 M, 최솟값을 m이라 하면 M-m의 값은?",2,4,6,8,10,0.0,Math
"닫힌 구간 [-2, 3]에서 함수 f(x) = -x3 + 3x2 - 6의 최댓값을 M, 최솟값을 m이라 할 때, M+n의 값은?",3,4,6,8,10,0.0,Math
"부등식 x2+y2≤1 이 나타내는 영역이 부등식 y≤x+m이 나타내는 영역에 포함될 때, 실수 m의 최솟값은?",3,-√3,-√2,√2,√3,0.0,Math
"서로 다른 두 개의 주사위를 동시에 던질 때, 두 눈의 합이 4 이상이 될 확률은?",4,1/4,5/12,2/3,11/12,0.0,Math
"7a + 5b = 6ab을 만족하는 두 양수 a, b의 곱 ab의 최솟값보다 작거나 같은 자연수의 개수는?",2,2,3,4,5,0.0,Math
"부등식 2[x]2-5[x]+2＜0의 해가 α≤x≤β일 때, α+β의 값은? (단, [x]는 x보다 크지 않은 최대의 정수이다.)",1,3,4,5,6,1.0,Math
"실수 전체에서 정의된 함수 y=f(x)는  라 정의되고, 다항식 g(x)는  , g(0)=2, 그리고 합성함수 (g∘f)(x)는 실수 전체에서 연속임을 만족한다 하자. 이때 g(1)를 구하면?",2,-3,-1,1,3,0.0,Math
"두 함수 f(x)=x3+3x2+x, g(x)=3x3-11x에 대하여, g(x)를 y축의 방향으로 α만큼 평행이동 시켜 f(x)와 서로 다른 두 점에서만 만나도록 하는 모든 α의 합은?",2,-15,-13,-5,0,0.0,Math
"다항식 f(x)를 (x-1)(x-2)(x-3)으로 나누었을 때의 나머지는 x2+x+1 이다. 다항식 f(6x)를 6x2-5x+1 로 나누었을 때의 나머지를 ax+b 라 할 때, a-b의 값은? (단, a, b는 상수이다.)",3,31,36,41,46,0.0,Math
"x의 다항식 P(x)에 대하여 (x8-1)P(x)=x11+ax3+b가 모든 실수 x에 대하여 성립할 때, a-b의 값은? (단, a, b는 상수이다.)",3,-3,-2,-1,0,0.0,Math
"원 x2+y2=1을 x축, y축의 방향으로 각각 –1, -2만큼 평행이동시킨 후, 다시 x축에 대하여 대칭이동시킨 원의 중심의 좌표를 (a ,b)라 할 때, b-a의 값은?",4,0,1,2,3,0.0,Math
"실수 전체의 집합에서 연속인 함수 f(x)에 대하여 (x+1)f(x)=x2+3x+a가 성립할 때, f(1)의 값은? (단, a는 상수이다.)",3,1,2,3,4,0.0,Math
"곡선 y=2x3-x-1 위의 점 (1, 0)에서 접선의 방정식이 y=ax+b일 때, a-b의 값은? (단, a, b는 상수이다.)",4,7,8,9,10,0.0,Math
원점을 출발하여 수직선 위를 움직이는 점 P의 t초 후의 속도 v(t)가 v(t)=8-t3이다. 점 P가 원점을 출발하여 다시 원점을 지날 때까지 움직인 거리는?,1,24,25,26,27,1.0,Math
"전체집합 U의 임의의 두 부분집합 A, B에 대하여, 집합 A∩(A∪Bc)c과 같은 집합은? (단, ø는 공집합이다.)",1,ø,A,Ac,U,1.0,Math
"A경찰청에 근무하는 경찰들을 대상으로 야구와 축구에 대한 선호도를 조사한 결과, 야구를 좋아하는 경찰이 전체 경찰의 50%, 야구를 좋아하는 남자 경찰이 전체 경찰의 40%였다. A경찰청에서 야구를 좋아하는 경찰 한 명을 뽑았을 때, 그 경찰이 남자 경찰일 확률은?",4,1/5,2/5,3/5,4/5,0.0,Math
"함수 f(x)=3x-1과 g(x)에 대하여 (g∘f)(x)=x일 때, g(5) 값은?",1,2,3,4,5,0.9,Math
"a1=1, a22, an+1·an-1=an(n=2, 3, …)으로 정의되는 수열 {an}에 대하여 a1+a2+a3+…+a18의 값은?",4,18,19,20,21,0.0,Math
"전체집합 U의 두 부분집합 A, B에 대하여 연산 ◉를 A◉B=(A∪B)∩(A∩B)c로 정의할 때, 다음 중 옳지 않은 것은?",3,A ◉ A = ø,B ◉ ø = B,B ◉ U = ø,A ◉ B = Ac ◉ Bc,0.0,Math
"직선 (2k-1)x+(k+1)y+2-k=0 이 k의 값에 관계없이 정점을 지날 때, 이 정점의 좌표는?",3,"(-1, -1)","(-1, 1)","(1, -1)","(1, 1)",0.0,Math
직각삼각형 ABC에 대하여 (sin2A + sin2B + sin2C) - (cos2A + cos2B + cos2C)의 값은?,4,-2,-1,0,1,0.0,Math
"서로 다른 두개의 주사위를 동시에 던져서 나오는 두 눈의 수의 합을 k라고 할 때, ik=1일 확률은? (단, i=√-1)",1,1/4,1/3,5/12,1/2,0.7692,Math
부등식 log2k ≤ log4(5k+6) 를 만족하는 모든 정수 k의 개수는?,2,4,6,8,10,0.0,Math
곡선 y=x2+a와 원점에서 이 곡선에 그은 두 접선으로 둘러싸인 도형의 넓이는?,4,10/3,4,14/3,16/3,0.0,Math
"한 개의 주사위를 2번 던져서 나온 눈의 수를 차례로 a,b라 하자. a+b≥10일 때, a=6일 확률은?",1,1/2,1/3,1/4,1/5,0.8889,Math
"주머니에 1,2,3,4의 숫자가 하나씩 적혀있는 4개의 흰 공과 5,6,7의 숫자가 하나씩 적혀있는 3개의 검은 공이 들어있다. 이 주머니에서 임의로 꺼낸 3개의 공에 적힌 수의 합이 짝수일 때, 꺼낸 3개의 공 중에서 흰 공의 개수가 2개 이상일 확률은?",4,9/19,10/19,11/19,12/19,0.0,Math
