question,answer,A,B,C,D,Category,Human Accuracy
수중으로 투과되는 빛의 양에 대한 설명으로 바른 것은?,3,"수중으로 투과되는 빛의 양은 태양의 위치, 고도 및 빛의 반사량, 확산 등에 의해 결정된다.",입사각이 60°이상일 때 반사량이 가장 적다.,파도가 많이 칠 때는 수면에서 반사량이 가장 적다.,수중에서 부유물이 많을 때 수중으로 투과되어 확산되는 빛의 양이 적어진다.,Maritime Engineering,0.0
특정 해역에서의 조류에 대한 가장 정확한 정보를 얻는데 필요한 것은?,3,수로지,조석표와 해도,달력,천측력(天測歷),Maritime Engineering,0.0
공기는 기압의 차이가 생기면 높은 곳에서 낮은 곳으로 이동하려는 성질이 있다. 이러한 성질이 원인이 되어 발생되는 것은?,2,강우,해류,조석,바람,Maritime Engineering,0.0
바람이 연안에서 바닷쪽으로 계속불면 연안의 따뜻한 물이 바닷쪽으로 흘러가고 깊은 수심의 찬물이 상승하는 것을 무엇이라 하는가?,1,용승류,연안류,표층해류,심층해류,Maritime Engineering,0.8462000000000001
우리나라 황해와 동해로 흘러 들어와서 각 황해 난류와 동한 난류를 이루는 아열대 해류는?,1,쿠로시오 해류,리만 해류,쿠릴 해류,쓰시마 해류,Maritime Engineering,1.0
배의 진동을 감소시키는 방법이 아닌 것은?,1,기진력은 가능한 한 크게 한다.,프로펠러의 회전수를 적절히 유지한다.,감쇠장치와 같은 특수한 장치를 장착한다.,국부구조의 고유진동수를 조정함으로써 공진상태를 피한다.,Maritime Engineering,0.9231
상갑판 상의 상부구조물로서 선수쪽에 위치하며 내파성을 좋게 하는 구조물은?,1,선수루,선교루,선미루,기관실 위벽,Maritime Engineering,0.8571
구상 선수(球狀 船首)에 의해 기대되는 주된 효과는?,2,마찰저항의 감소,조파저항의 감소,조와저항의 감소,공기저항의 감소,Maritime Engineering,0.7273000000000001
맞파도(Head sea)나 추파(Following sea)와 같은 종파와 연성되어 항해 중인 선박에 직접적으로 일어나는 선체운동으로만 짝지어진 것은?,1,상하동요(Heaving)와 종동요(Pitching),상하동요(Heaving)와 횡동요(Rolling),횡동요(Rolling)와 수평동요(Swaying),선수동요(Yawing)와 종동요(Pitching),Maritime Engineering,0.8571
배가 항해할 때 선체 운동에 의해 선수 선저부가 수면을 가아게 내려치는 현상을 무엇이라 하는가?,4,티핑(Tipping),해머링(hammering),종동요(Pitching),슬래밍(Slamming),Maritime Engineering,0.7143
